customer_id,age,income,tenure,last_purchase_days,avg_order_value,campaign_channel,campaign_type,sent,opened
60,61,44358,3,338,55,email,promotional,1,1
61,25,76238,91,197,30,push,loyalty,0,0
62,64,34726,3,25,99,email,informational,1,0
63,52,39511,28,202,57,email,loyalty,1,1
64,31,42614,63,273,98,social,loyalty,1,0
65,34,58140,81,36,87,social,promotional,1,0
66,53,34417,31,223,118,push,promotional,1,1
67,67,52035,10,352,68,push,promotional,1,1
68,57,52473,49,277,112,email,informational,1,1
69,21,39584,86,18,125,email,promotional,0,0
70,19,54949,94,188,93,email,loyalty,0,1
71,23,34882,113,257,114,email,informational,0,1
72,59,33243,21,142,70,push,promotional,1,1
73,21,51494,100,136,88,social,promotional,1,0
74,46,25103,53,307,59,push,promotional,1,1
75,35,17827,87,79,170,push,loyalty,1,1
76,43,57992,102,292,136,push,promotional,0,1
77,61,65734,76,62,149,social,loyalty,0,1
78,51,42997,89,129,136,push,informational,1,1
79,27,39978,54,341,80,social,promotional,0,1
80,53,65083,57,298,53,email,loyalty,0,1
81,31,32816,20,257,87,push,promotional,1,1
82,48,29549,113,212,114,email,promotional,1,1
83,65,60614,49,54,91,email,informational,0,1
84,32,50135,106,175,32,email,informational,1,1
85,25,65973,7,100,122,push,loyalty,1,1
86,31,17896,29,39,52,email,loyalty,0,0
87,40,28989,48,263,87,push,loyalty,1,1
88,57,50214,93,150,152,email,informational,1,1
89,38,56265,13,121,101,push,loyalty,0,1
90,33,62704,3,178,132,push,informational,1,1
91,62,52622,2,301,110,push,informational,1,1
92,35,52469,16,330,69,email,promotional,1,1
93,64,44158,94,120,121,push,promotional,1,1
94,41,73863,102,72,98,email,loyalty,1,1
95,43,33454,6,219,55,social,informational,1,1
96,42,55385,45,302,50,email,informational,1,1
97,62,35182,71,123,111,email,informational,1,1
98,58,58021,5,244,164,push,promotional,0,1
99,46,34444,56,75,67,email,informational,1,1
100,32,61157,71,6,71,social,loyalty,0,1
101,62,51681,98,21,111,push,loyalty,1,0
102,18,76169,32,190,60,email,promotional,1,1
103,42,45784,49,225,170,email,loyalty,1,1
104,24,56374,13,103,74,push,informational,1,1
105,26,38305,30,344,85,push,informational,1,1
106,41,45681,25,99,75,email,loyalty,1,1
107,18,51586,85,318,128,email,promotional,1,1
108,61,27091,60,363,164,push,informational,0,1
109,25,28735,59,83,78,push,informational,1,1
110,41,58997,85,181,125,social,promotional,1,1
111,28,47808,28,152,60,social,informational,1,1
112,68,41106,112,56,128,social,loyalty,1,0
113,34,38945,58,190,152,push,loyalty,1,0
114,25,39522,20,22,143,push,promotional,1,1
115,52,51688,34,68,103,push,promotional,1,1
116,52,56675,5,185,69,email,loyalty,1,1
117,50,18618,82,10,100,push,promotional,1,0
118,22,71192,60,66,90,email,loyalty,0,0
119,59,70125,103,264,86,push,promotional,1,1
120,56,15040,43,225,106,push,loyalty,1,1
121,58,66288,57,123,98,email,informational,1,1
122,45,65828,57,38,121,push,informational,1,1
123,24,50006,75,123,121,push,loyalty,1,1
124,26,30542,54,318,98,push,informational,1,0
125,25,65228,81,156,112,social,loyalty,1,1
126,29,46381,112,301,139,push,promotional,1,1
127,51,58233,45,321,84,email,informational,1,1
128,50,83288,86,67,100,email,informational,0,1
129,65,53777,37,133,69,email,informational,1,1
130,40,36246,84,362,114,push,loyalty,1,1
131,41,44964,48,140,105,email,informational,1,1
132,54,38158,118,82,113,social,promotional,1,1
133,52,56502,54,58,70,email,informational,1,0
134,61,37908,48,149,122,push,promotional,0,0
135,57,42907,112,131,103,social,informational,1,0
136,39,30733,110,69,130,email,informational,1,1
137,44,48018,6,345,86,social,promotional,1,1
138,52,52651,34,250,120,email,informational,0,1
139,18,9728,63,320,113,push,promotional,1,0
140,52,53893,78,177,145,social,promotional,1,1
141,54,49314,48,72,96,email,promotional,1,1
142,64,38525,23,17,83,email,informational,1,0
143,31,80429,84,329,85,social,informational,1,1
144,20,64377,13,160,66,social,promotional,1,1
145,18,33553,47,70,84,social,informational,0,1
146,22,62573,44,113,29,social,loyalty,1,1
147,43,68667,105,232,141,email,promotional,0,1
148,31,51980,32,21,158,email,promotional,1,1
149,56,55421,26,135,95,email,loyalty,1,1
150,44,55075,114,263,113,push,loyalty,1,1
151,26,18712,53,111,104,social,promotional,1,1
152,32,47196,14,246,60,email,loyalty,1,1
153,32,46416,52,283,130,social,promotional,1,1
154,43,71452,36,8,135,social,informational,1,1
155,59,55005,8,284,68,email,loyalty,1,1
156,30,45535,40,207,109,social,promotional,0,0
157,68,48648,86,194,92,social,promotional,0,1
158,49,65350,22,47,135,social,promotional,1,1
159,56,47231,16,342,97,social,loyalty,1,1
160,66,39527,91,242,98,social,informational,1,1
161,69,45864,60,10,154,email,informational,1,0
162,49,64110,60,289,61,email,loyalty,1,0
163,21,57442,10,131,107,social,promotional,1,1
164,47,50664,25,270,102,social,promotional,1,1
165,54,52873,31,302,81,social,promotional,0,1
166,40,41603,21,61,161,push,loyalty,1,0
167,56,47090,91,164,110,social,loyalty,0,1
168,62,40050,81,13,120,push,promotional,1,0
169,32,45578,33,272,124,push,promotional,1,1
170,60,70192,31,208,90,push,promotional,1,1
171,46,33831,114,246,137,email,loyalty,1,1
172,53,39669,106,133,131,push,loyalty,1,1
173,30,31185,90,244,96,social,informational,1,1
174,49,27936,21,294,128,social,promotional,1,1
175,24,47198,36,38,137,email,promotional,1,0
176,68,40735,65,359,123,email,informational,1,1
177,39,76425,4,56,74,social,promotional,1,0
178,45,45757,68,319,97,email,informational,1,1
179,19,69340,90,48,114,email,loyalty,1,1
180,59,64520,4,105,107,push,informational,1,1
181,62,46865,113,59,77,push,informational,1,0
182,23,81652,9,77,91,email,loyalty,1,1
183,45,54028,30,218,110,social,promotional,1,1
184,45,72695,115,55,54,push,informational,0,1
185,61,70948,45,55,100,social,informational,0,1
186,61,56219,4,129,120,email,promotional,1,1
187,37,61266,69,85,108,social,informational,1,1
188,47,59361,109,214,74,social,loyalty,1,1
189,28,32836,23,115,79,social,informational,0,1
190,45,50859,16,314,144,social,promotional,1,1
191,42,66113,22,293,71,email,promotional,1,1
192,56,72892,101,49,135,email,informational,1,1
193,50,39190,72,67,81,push,promotional,0,1
194,18,57932,48,275,133,push,promotional,1,1
195,44,52263,62,129,116,push,informational,0,1
196,69,48231,97,29,89,push,informational,0,0
197,30,55340,119,343,47,social,promotional,1,1
198,58,53269,60,33,111,push,informational,0,0
199,20,58121,102,119,105,push,loyalty,1,1
200,56,71625,107,180,112,social,informational,1,1
201,23,61761,80,151,116,email,promotional,1,1
202,25,54658,5,133,60,push,loyalty,1,1
203,44,77969,80,327,111,email,promotional,1,1
204,26,66648,7,185,122,push,promotional,1,1
205,54,48614,51,134,121,email,loyalty,1,1
206,50,31743,65,177,62,push,informational,0,1
207,68,35182,9,22,134,email,promotional,1,0
208,59,63998,82,241,112,email,informational,1,1
209,61,40545,45,77,116,push,informational,0,1
210,41,34879,47,204,73,email,loyalty,1,1
211,32,38628,67,4,122,push,promotional,1,1
212,49,39689,24,328,48,push,loyalty,0,1
213,49,62759,92,165,74,social,loyalty,0,1
214,41,47648,10,128,137,push,promotional,1,1
215,58,29414,73,45,121,push,promotional,1,0
216,69,50465,77,218,108,push,loyalty,1,1
217,66,53333,48,235,128,push,loyalty,1,1
218,66,42809,35,136,130,social,loyalty,1,1
219,69,67338,54,168,122,social,promotional,1,1
220,29,43685,87,237,93,social,promotional,0,1
221,56,66625,111,93,73,social,loyalty,1,1
222,19,58951,81,5,80,email,promotional,0,0
223,20,63899,110,156,142,push,promotional,0,1
224,66,33521,71,245,61,social,promotional,1,1
225,54,51474,116,360,114,push,informational,1,1
226,66,49207,16,81,114,social,informational,1,1
227,34,28669,53,247,144,push,loyalty,1,0
228,66,66575,40,343,114,email,informational,1,1
229,19,37738,100,137,87,social,loyalty,1,1
230,19,40856,20,63,87,email,loyalty,1,1
231,45,34800,88,307,99,email,promotional,1,1
232,40,60517,111,116,133,push,loyalty,1,1
233,54,27111,69,113,124,social,loyalty,1,1
234,49,59268,45,31,67,email,loyalty,1,0
235,50,65667,6,7,108,push,loyalty,0,1
236,18,58057,92,3,124,push,promotional,1,0
237,36,60689,69,307,92,push,promotional,1,1
238,19,61393,49,243,35,email,loyalty,0,0
239,61,35758,39,56,94,push,informational,1,0
240,43,71521,102,73,55,push,informational,1,1
241,49,43098,2,10,50,push,loyalty,1,0
242,23,49004,107,61,131,email,promotional,0,1
243,49,45010,39,50,175,push,loyalty,1,0
244,21,57373,118,122,140,email,loyalty,1,1
245,28,41929,21,175,21,push,promotional,1,0
246,34,51003,40,1,94,email,informational,1,0
247,55,31469,101,38,82,email,loyalty,1,1
248,41,67469,82,190,55,social,promotional,0,1
249,22,60061,54,79,113,social,promotional,1,0
250,69,45616,112,345,94,social,loyalty,1,1
251,51,42962,110,338,65,email,promotional,1,1
252,23,59669,12,190,38,push,loyalty,1,0
253,39,39390,81,184,81,push,informational,1,1
254,28,51880,37,67,100,email,loyalty,1,1
255,65,67420,110,17,96,push,informational,0,1
256,33,37831,38,316,131,email,promotional,1,1
257,50,55529,15,296,110,push,loyalty,0,1
258,26,54735,7,209,89,email,promotional,1,1
259,23,48539,78,345,75,social,loyalty,1,1
260,33,42443,50,41,46,social,promotional,1,0
261,46,68221,65,115,67,push,informational,1,1
262,20,41036,102,100,140,push,loyalty,0,1
263,37,22819,67,345,125,push,promotional,0,1
264,53,59608,101,349,108,push,loyalty,1,1
265,36,31980,44,139,85,social,loyalty,1,1
266,43,60378,31,316,137,social,informational,1,0
267,20,70023,43,324,69,email,promotional,1,1
268,36,59446,77,334,70,push,loyalty,1,1
269,37,66071,48,302,97,social,loyalty,1,1
270,49,80300,82,294,34,email,loyalty,1,1
271,24,64501,81,17,68,email,loyalty,0,1
272,69,54958,81,322,92,email,loyalty,1,1
273,58,74509,61,292,86,social,promotional,1,1
274,50,76321,75,74,70,email,loyalty,1,1
275,57,76531,84,263,161,push,loyalty,1,1
276,56,42617,10,16,140,email,loyalty,0,0
277,35,29689,29,14,151,email,promotional,1,0
278,57,41702,48,336,97,social,loyalty,0,1
279,18,60554,98,281,85,email,loyalty,1,1
280,28,52387,81,361,148,social,informational,1,1
281,45,46902,118,4,102,social,informational,1,0
282,42,58407,62,127,68,push,loyalty,1,1
283,67,27937,116,312,70,email,loyalty,1,0
284,40,52117,106,6,90,push,informational,0,0
285,48,66776,13,129,99,push,promotional,1,1
286,47,58239,44,232,102,email,promotional,1,1
287,59,60377,47,313,94,email,informational,1,1
288,52,73960,103,195,170,social,loyalty,1,0
289,24,49007,64,65,59,email,informational,0,1
290,33,40203,91,321,120,social,promotional,1,1
291,43,67842,118,103,85,push,informational,1,1
292,65,67566,53,277,98,push,promotional,1,1
293,69,58374,90,158,128,social,loyalty,1,1
294,66,47594,92,224,46,email,loyalty,1,1
295,19,50020,77,289,71,email,loyalty,1,1
296,18,30848,76,278,95,social,promotional,1,0
297,65,66694,44,182,144,push,informational,0,1
298,29,66164,28,4,144,social,loyalty,1,1
299,22,30324,2,215,138,email,promotional,0,1
300,54,63014,101,217,34,email,loyalty,1,1
301,49,56061,57,209,68,social,informational,1,1
302,26,34670,57,74,69,email,loyalty,1,1
303,58,31909,34,227,98,push,promotional,1,1
304,52,55602,87,93,44,social,promotional,1,0
305,36,44034,58,65,132,push,loyalty,1,1
306,65,77299,52,321,40,push,loyalty,1,1
307,33,64288,109,10,130,social,promotional,0,1
308,20,57105,29,303,126,social,loyalty,1,1
309,37,57846,35,322,67,email,loyalty,1,1
310,41,69963,75,305,137,email,loyalty,1,1
311,50,62697,48,278,90,social,informational,1,1
312,41,57496,33,86,82,social,informational,1,1
313,69,35296,115,26,87,email,informational,0,0
314,28,95929,75,218,89,email,loyalty,1,1
315,66,33452,73,95,92,email,promotional,1,1
316,25,45311,78,244,93,social,loyalty,1,1
317,53,25179,9,107,73,social,loyalty,1,1
318,55,58081,103,248,80,email,informational,1,1
319,57,52266,48,14,82,push,promotional,1,1
320,37,61479,67,161,150,push,informational,1,0
321,52,23914,93,71,82,email,promotional,1,1
322,65,66693,83,152,80,social,loyalty,1,1
323,42,37888,36,75,145,social,loyalty,1,1
324,52,47764,96,215,90,push,loyalty,1,1
325,42,63973,71,51,73,email,promotional,1,1
326,46,53919,119,143,66,push,informational,1,0
327,35,54979,92,36,57,push,informational,1,0
328,63,61987,44,167,116,email,informational,1,1
329,35,56431,82,236,45,push,promotional,1,0
330,19,44883,60,260,140,social,promotional,0,1
331,52,47502,63,192,97,push,loyalty,1,1
332,33,53178,5,202,86,email,informational,1,1
333,58,36566,87,262,93,social,promotional,1,1
334,53,64940,119,185,113,social,informational,1,1
335,50,54329,86,158,85,push,informational,1,1
336,21,51121,90,246,94,social,promotional,1,1
337,50,67887,106,110,131,email,promotional,1,1
338,31,48198,76,99,110,push,loyalty,0,1
339,38,47263,40,241,62,social,loyalty,0,1
340,65,42730,19,202,78,email,loyalty,1,1
341,37,55146,47,122,46,push,informational,1,0
342,25,54626,65,117,118,email,informational,1,1
343,24,40005,67,96,121,social,loyalty,1,1
344,20,47334,91,234,71,push,informational,0,1
345,34,40105,18,67,169,push,informational,1,1
346,50,39426,50,218,173,social,informational,1,1
347,65,24051,30,15,100,email,informational,1,0
348,29,46536,66,273,76,social,promotional,1,1
349,68,24466,5,219,108,push,promotional,1,1
350,39,43057,93,274,75,push,loyalty,1,1
351,39,40809,97,147,128,social,loyalty,0,0
352,63,65778,42,332,104,email,informational,1,1
353,47,34775,84,344,107,social,informational,1,1
354,55,38582,94,152,152,email,promotional,1,1
355,55,44277,106,347,81,email,informational,1,1
356,62,41297,5,304,82,push,informational,1,1
357,68,70538,50,15,125,email,loyalty,1,1
358,25,32921,85,354,87,push,informational,1,0
359,44,44308,58,84,148,email,promotional,1,1
360,44,54980,79,192,130,email,informational,1,0
361,51,63217,84,41,88,push,informational,1,1
362,38,44296,8,352,45,email,informational,1,1
363,47,21228,113,324,56,social,informational,1,1
364,50,47748,31,261,85,email,informational,1,1
365,45,70280,12,309,112,push,promotional,1,1
366,64,54232,21,136,133,push,loyalty,1,1
367,50,53546,94,278,93,social,informational,0,1
368,22,34054,62,106,73,email,loyalty,0,1
369,65,32514,91,7,95,social,loyalty,0,0
370,36,50270,108,302,100,email,promotional,0,1
371,21,28604,90,30,139,social,loyalty,1,0
372,52,61720,33,126,137,push,informational,1,1
373,66,37300,26,357,69,push,informational,1,1
374,34,49630,90,79,113,social,informational,0,1
375,61,21713,100,67,74,email,informational,1,1
376,45,44092,40,23,75,email,promotional,1,0
377,47,32212,65,189,131,push,loyalty,1,1
378,46,15170,59,74,94,email,promotional,1,1
379,63,58127,15,5,119,social,loyalty,0,0
380,23,74617,114,82,116,social,promotional,1,1
381,52,66942,1,25,97,email,promotional,1,1
382,58,60225,11,264,109,push,promotional,1,1
383,54,43788,55,2,106,push,informational,1,0
384,41,62088,2,278,65,push,informational,0,1
385,46,68357,65,328,114,push,promotional,1,1
386,66,52052,95,343,78,push,loyalty,0,1
387,63,32234,44,224,67,social,loyalty,1,1
388,48,42509,16,72,125,email,informational,1,1
389,52,75540,118,68,82,social,promotional,1,1
390,50,48878,22,320,133,push,informational,0,1
391,69,128,106,94,132,push,informational,1,1
392,38,27966,18,19,85,email,informational,1,0
393,49,43633,47,128,132,email,promotional,1,1
394,40,65537,81,343,88,email,promotional,1,1
395,50,45903,30,82,97,social,informational,1,1
396,20,65816,10,254,114,email,promotional,0,1
397,35,42107,99,221,161,social,loyalty,1,1
398,42,20535,58,343,128,push,loyalty,1,1
399,59,42626,62,97,98,social,informational,0,1
400,48,55174,85,52,103,email,loyalty,1,0
401,20,53929,80,175,52,social,informational,1,1
402,57,31173,6,338,130,social,informational,0,1
403,63,44732,67,182,126,social,informational,1,1
404,41,90270,41,353,108,email,promotional,1,1
405,67,31500,43,115,121,social,promotional,1,1
406,49,59910,85,348,39,email,promotional,1,1
407,64,18549,77,1,67,social,promotional,1,0
408,39,62956,18,63,154,social,informational,1,1
409,40,36615,58,248,92,social,promotional,1,0
410,19,56031,118,231,122,email,loyalty,1,1
411,44,30627,60,226,77,email,loyalty,1,1
412,59,54362,88,19,86,email,promotional,1,0
413,19,36370,27,31,155,push,loyalty,1,0
414,43,39274,118,333,95,email,loyalty,1,1
415,34,56629,68,121,115,social,promotional,1,1
416,57,43544,22,24,103,push,informational,1,0
417,50,55705,24,325,107,email,informational,1,0
418,26,47137,40,211,106,email,informational,0,1
419,60,51012,109,161,40,push,promotional,1,1
420,65,56676,74,255,114,push,informational,1,1
421,56,44749,66,59,83,email,informational,1,1
422,46,35059,40,114,153,push,loyalty,1,1
423,59,42015,6,160,76,social,informational,1,1
424,43,67927,112,220,85,social,promotional,1,0
425,52,51742,18,357,173,social,informational,1,0
426,67,37326,81,169,121,email,loyalty,0,1
427,42,56023,102,12,70,social,loyalty,1,0
428,41,57024,109,242,105,push,loyalty,0,1
429,30,57799,87,139,63,social,loyalty,1,1
430,24,35332,110,97,107,push,informational,0,1
431,53,39764,30,147,75,social,loyalty,1,1
432,62,39847,21,182,155,push,loyalty,1,1
433,37,44590,62,57,112,social,loyalty,1,0
434,18,58083,10,42,115,social,informational,1,0
435,25,54442,107,354,128,social,promotional,1,1
436,63,55628,13,199,131,push,loyalty,1,1
437,33,70310,76,31,79,push,loyalty,0,1
438,31,60333,9,180,102,social,loyalty,1,1
439,29,47872,68,2,86,push,informational,1,1
440,68,32241,39,288,162,push,informational,1,1
441,40,39281,24,138,31,email,loyalty,1,1
442,32,46074,118,105,82,social,promotional,1,0
443,45,62436,34,218,97,push,loyalty,1,1
444,51,49590,103,222,104,push,promotional,1,1
445,19,40157,61,331,103,push,promotional,1,1
446,49,39006,41,105,98,push,informational,1,1
447,40,48956,5,127,95,email,informational,0,1
448,39,63349,79,265,107,push,informational,0,1
449,68,73865,50,200,113,push,promotional,0,1
450,42,46913,4,252,153,email,promotional,1,1
451,39,49328,51,15,153,social,promotional,1,0
452,39,31790,52,226,109,social,informational,1,1
453,66,79087,39,353,85,email,informational,1,1
454,69,28984,8,105,87,social,informational,1,1
455,59,67574,113,233,60,social,loyalty,0,1
456,23,44519,45,319,128,email,promotional,1,1
457,32,41009,88,219,98,push,promotional,1,1
458,60,33349,117,277,113,email,loyalty,1,0
459,54,86150,28,261,110,email,promotional,0,1
460,50,53322,119,341,79,email,promotional,0,0
461,25,50319,107,336,75,email,loyalty,1,1
462,61,63300,27,190,86,email,promotional,1,1
463,61,40237,65,198,114,push,informational,1,1
464,22,50027,34,353,97,social,loyalty,0,1
465,56,50845,81,277,47,email,promotional,1,1
466,21,42317,101,336,69,push,informational,1,1
467,23,67994,62,39,91,email,promotional,1,1
468,62,46720,62,162,99,push,loyalty,1,1
469,49,26703,38,121,115,social,informational,1,1
470,69,45477,26,262,101,push,promotional,1,0
471,47,53737,24,216,89,push,loyalty,1,1
472,64,36597,39,312,88,social,promotional,0,1
473,52,37781,21,49,106,social,promotional,1,0
474,57,41806,94,92,112,push,informational,1,1
475,69,68318,47,129,90,email,promotional,1,1
476,33,42692,115,321,67,email,loyalty,1,1
477,30,71436,48,28,97,social,loyalty,0,1
478,67,40775,13,356,80,email,informational,0,0
479,59,54875,101,148,108,social,informational,1,1
480,47,43306,3,328,144,push,promotional,0,1
481,36,61311,32,65,59,push,loyalty,1,0
482,34,33225,35,218,134,email,informational,1,1
483,36,61142,19,51,114,social,promotional,1,1
484,45,51708,14,305,133,email,promotional,0,1
485,43,40400,48,74,86,email,loyalty,0,1
486,54,47506,86,199,56,push,loyalty,1,1
487,43,73007,81,192,105,email,promotional,1,1
488,40,52067,68,189,141,push,loyalty,1,1
489,26,39459,45,12,68,social,promotional,1,0
490,29,31929,104,239,72,email,promotional,1,1
491,18,57581,19,360,117,push,loyalty,0,1
492,18,52937,64,81,84,email,informational,1,1
493,64,60425,101,270,149,social,promotional,1,1
494,51,28066,66,290,119,email,loyalty,1,0
495,49,32416,79,48,78,email,promotional,1,0
496,65,67203,66,317,83,push,promotional,1,1
497,42,54970,75,209,84,social,promotional,1,1
498,57,58001,45,35,98,social,loyalty,1,0
499,62,35559,87,119,109,social,loyalty,1,1
500,18,35285,74,65,106,email,loyalty,1,1
501,33,64868,67,315,66,push,informational,0,1
502,56,65575,69,242,127,email,promotional,0,1
503,22,33675,3,36,91,email,informational,1,0
504,39,30809,38,252,72,email,promotional,1,1
505,46,48371,77,243,86,social,loyalty,1,1
506,20,38009,42,42,130,push,promotional,1,0
507,29,37697,83,69,105,social,promotional,1,1
508,43,31229,40,107,108,email,promotional,1,1
509,33,42973,50,39,64,email,informational,1,0
510,68,32679,35,69,103,push,loyalty,1,1
511,54,33568,24,180,129,social,loyalty,1,1
512,39,54475,88,12,45,email,promotional,1,0
513,46,49172,17,339,88,email,loyalty,1,1
514,31,57273,40,204,118,push,informational,1,1
515,45,25264,74,36,104,email,informational,0,0
516,22,50148,66,126,69,social,loyalty,1,1
517,64,81134,44,63,111,social,informational,0,0
518,66,44415,23,332,64,email,informational,0,1
519,47,62371,6,82,73,email,loyalty,1,1
520,63,62240,66,307,77,email,loyalty,0,1
521,69,62977,21,299,146,push,promotional,1,1
522,22,52499,119,34,49,push,promotional,1,0
523,29,58491,35,240,52,social,informational,1,1
524,33,60485,113,97,108,social,loyalty,1,0
525,43,59531,29,49,103,email,informational,1,0
526,43,33238,7,146,85,email,loyalty,1,1
527,65,24389,93,125,100,email,informational,1,1
528,38,26696,53,189,68,push,informational,1,1
529,56,45947,37,57,102,push,informational,1,0
530,53,58908,23,349,106,email,promotional,0,1
531,50,33433,97,109,136,email,loyalty,1,1
532,47,63859,8,5,157,social,informational,0,1
533,54,42465,76,24,91,push,promotional,1,1
534,40,42608,110,221,61,email,informational,1,1
535,27,37458,48,315,111,push,informational,1,1
536,22,21728,10,294,95,email,loyalty,1,1
537,53,53439,79,10,94,email,informational,0,0
538,51,75690,117,165,51,social,loyalty,1,1
539,69,49060,24,215,102,social,promotional,1,1
540,48,22240,90,126,112,social,promotional,1,0
541,27,61705,47,267,129,email,informational,0,1
542,36,25628,106,280,84,social,promotional,1,1
543,49,31864,53,88,75,email,loyalty,1,1
544,18,46424,39,114,84,push,loyalty,0,1
545,22,51842,67,21,128,push,promotional,1,0
546,62,34870,66,148,141,email,loyalty,0,1
547,21,45840,6,245,133,social,loyalty,1,1
548,33,60727,21,266,119,social,informational,1,0
549,41,62782,73,217,99,push,informational,0,1
550,33,68771,74,240,103,email,loyalty,1,1
551,19,78641,36,232,108,email,promotional,1,1
552,66,62148,3,232,92,email,loyalty,1,1
553,45,46748,105,242,126,push,informational,1,1
554,49,62889,88,190,50,push,promotional,1,1
555,44,57000,86,229,55,social,loyalty,1,1
556,37,57595,113,66,50,email,promotional,1,0
557,41,52658,78,279,75,email,promotional,1,1
558,29,36319,42,269,140,email,promotional,1,1
559,67,34578,45,209,64,email,loyalty,0,1
560,52,48543,44,16,65,push,informational,1,0
561,50,52233,91,297,75,social,promotional,1,1
562,50,39808,33,220,133,push,promotional,0,1
563,68,56350,60,257,143,social,loyalty,1,1
564,60,81211,86,268,130,email,informational,1,1
565,54,23835,93,229,132,email,informational,0,0
566,29,58733,83,119,149,email,loyalty,1,1
567,20,49010,83,178,46,email,promotional,1,1
568,18,56759,70,20,63,email,loyalty,1,0
569,50,43539,109,36,78,push,informational,1,0
570,57,47809,83,335,103,social,promotional,1,1
571,27,51942,77,108,103,push,promotional,1,1
572,60,45475,26,189,103,email,informational,1,1
573,61,27191,86,178,125,social,promotional,1,1
574,46,46491,21,96,42,social,loyalty,1,1
575,30,28753,100,315,95,email,informational,1,1
576,29,59797,2,20,107,social,informational,1,0
577,48,22016,47,164,90,push,promotional,1,1
578,63,65429,108,97,105,push,informational,1,1
579,19,56443,30,143,130,push,loyalty,1,0
580,68,56500,27,62,101,push,informational,1,1
581,67,17535,71,242,164,social,promotional,1,1
582,52,45071,20,238,128,push,informational,1,1
583,40,67303,50,131,107,social,promotional,0,1
584,34,42220,95,93,115,email,promotional,1,1
585,43,33829,23,91,122,push,loyalty,1,1
586,25,40449,13,133,150,email,informational,0,0
587,46,48975,81,123,135,push,loyalty,1,1
588,43,37229,4,342,115,email,loyalty,0,1
589,27,68507,14,118,78,email,informational,1,1
590,43,49029,20,198,112,email,loyalty,1,1
591,51,41666,13,282,117,email,loyalty,0,1
592,68,30479,3,1,123,email,promotional,0,1
593,58,57266,90,211,77,social,loyalty,1,1
594,24,56924,90,263,122,social,informational,1,1
595,21,38116,82,332,124,push,promotional,1,1
596,67,16455,96,212,63,social,loyalty,1,1
597,62,56161,78,87,63,email,loyalty,0,1
598,28,47197,47,153,133,social,informational,1,1
599,46,55041,3,350,74,social,loyalty,1,0
600,53,79357,1,187,146,email,informational,1,1
601,42,49597,90,61,91,social,loyalty,1,0
602,38,42292,24,285,111,email,loyalty,1,1
603,53,32790,113,95,110,social,informational,1,0
